time_s,state,waypoint,x_m,y_m,altitude_m,target_x_m,target_y_m,target_altitude_m,error_m
1.90028,PRESTREAM,0,0.0329109,-0.0383203,0.0427858,0,0,3,2.95765
2.4006,NAVIGATING,0,0.0291356,-0.0445223,0.0390293,0,0,3,2.96145
2.90076,NAVIGATING,0,0.0294932,-0.0504313,0.0279116,0,0,3,2.97266
3.40061,NAVIGATING,0,0.0323504,-0.0423717,0.0296215,0,0,3,2.97086
3.90069,NAVIGATING,0,0.0386702,-0.0354575,0.019734,0,0,3,2.98073
4.40067,NAVIGATING,0,0.0409526,-0.038377,0.00650562,0,0,3,2.99402
4.90063,NAVIGATING,0,0.0432476,-0.0451147,-0.00998671,0,0,3,3.01064
5.40068,NAVIGATING,0,0.0513011,-0.0480395,-0.0240584,0,0,3,3.02487
5.90044,NAVIGATING,0,0.0561833,-0.0420112,-0.0147424,0,0,3,3.01556
6.40059,NAVIGATING,0,0.0429917,0.0123392,-0.0105666,0,0,3,3.0109
6.90038,NAVIGATING,0,0.0236191,0.120491,-0.0265341,0,0,3,3.02902
7.40047,NAVIGATING,0,0.0346921,0.159332,0.0626911,0,0,3,2.94183
7.90056,NAVIGATING,0,0.0534778,0.101225,0.299034,0,0,3,2.70339
8.40056,NAVIGATING,0,0.0359651,0.0125955,0.554274,0,0,3,2.44602
8.90074,NAVIGATING,0,0.00885899,-0.0389429,1.02847,0,0,3,1.97193
9.4005,NAVIGATING,0,-0.00816294,-0.0566673,1.5486,0,0,3,1.45252
9.90051,NAVIGATING,0,-0.00587267,-0.061242,1.8922,0,0,3,1.1095
10.4011,NAVIGATING,0,-0.00196873,-0.0707765,2.13364,0,0,3,0.869252
10.9008,NAVIGATING,0,-0.0002229,-0.0746412,2.30239,0,0,3,0.701593
11.4007,NAVIGATING,0,-0.000212736,-0.0695713,2.45665,0,0,3,0.547785
11.9005,NAVIGATING,0,-0.00897945,-0.0585353,2.56336,0,0,3,0.440635
12.401,NAVIGATING,0,-0.0128906,-0.0330947,2.65601,0,0,3,0.345816
12.9012,NAVIGATING,0,-0.00580254,-0.0128101,2.72431,0,0,3,0.276051
13.4015,NAVIGATING,0,-0.00064176,-0.00118164,2.79034,0,0,3,0.209664
13.9006,NAVIGATING,1,0.120444,0.0125431,2.90611,3,0,3,2.88111
14.4005,DETOUR,1,0.546149,-0.15643,2.94174,2.38622,1.49284,2.93213,2.47104
14.9008,DETOUR,1,-0.533747,-0.600379,2.63937,2.38622,1.49284,2.93213,3.60464
15.401,DETOUR,1,-1.25916,-0.435322,1.80367,2.38622,1.49284,2.93213,4.27551
15.9008,DETOUR,1,-1.20961,-0.305679,0.768514,2.38622,1.49284,2.93213,4.56573
16.4009,DETOUR,1,-1.03982,0.101513,-0.181659,2.38622,1.49284,2.93213,4.83417
16.9011,DETOUR,1,-0.936186,0.752536,-0.0970817,2.38622,1.49284,2.93213,4.55659
17.4023,DETOUR,1,-0.176672,1.14636,-0.115196,2.38622,1.49284,2.93213,3.99683
17.9016,DETOUR,1,0.83549,1.28515,-0.0995487,2.38622,1.49284,2.93213,3.41159
18.4018,DETOUR,1,1.71681,1.40316,-0.0569275,2.38622,1.49284,2.93213,3.06441
18.9009,DETOUR,1,2.12644,1.38051,-0.0167321,2.38622,1.49284,2.93213,2.96241
19.4015,DETOUR,1,2.35362,1.23794,0.0161019,2.38622,1.49284,2.93213,2.92733
19.9011,DETOUR,1,2.44294,0.998587,0.0137584,2.38622,1.49284,2.93213,2.96047
20.4013,DETOUR,1,2.55748,0.832226,0.0356565,2.38622,1.49284,2.93213,2.97578
20.9011,DETOUR,1,2.57415,0.775337,0.022638,2.38622,1.49284,2.93213,3.00254
21.4009,DETOUR,1,2.59722,0.788992,0.0545375,2.38622,1.49284,2.93213,2.96993
21.9011,DETOUR,1,2.63107,0.892423,0.226848,2.38622,1.49284,2.93213,2.78191
22.4017,DETOUR,1,2.61884,1.01129,0.427622,2.38622,1.49284,2.93213,2.56097
22.9017,DETOUR,1,2.58395,1.06771,0.599793,2.38622,1.49284,2.93213,2.379
23.4012,DETOUR,1,2.57427,1.08916,0.940298,2.38622,1.49284,2.93213,2.04101
23.9013,DETOUR,1,2.58766,1.0821,1.48296,2.38622,1.49284,2.93213,1.51966
24.4013,DETOUR,1,2.58467,1.10588,2.08506,2.38622,1.49284,2.93213,0.952181
24.9014,DETOUR,1,2.55815,1.14078,2.40749,2.38622,1.49284,2.93213,0.654795
25.4013,DETOUR,1,2.51212,1.19815,2.60983,2.38622,1.49284,2.93213,0.454498
25.9014,DETOUR,1,2.46993,1.26058,2.69569,2.38622,1.49284,2.93213,0.341839
26.4016,DETOUR,1,2.44391,1.30576,2.757,2.38622,1.49284,2.93213,0.262676
